Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,Energy_efficiency,Energy_ratio,CO2_per_capita
United States,petroleum_n_other_liquids,1998,36.83754386,15.607424388,12610.85,275762.2,344.2103008933059,7.526866931015752,2336.696855,0.4236825464617174,0.4236825464617174,0.008473593752153124
United States,nuclear,1998,7.067808773,7.067808773,12610.85,275762.2,344.2103008933059,7.526866931015752,0.0,1.0,1.0,0.0
United States,renewables_n_other,1998,6.491295605,6.492734918,12610.85,275762.2,344.2103008933059,7.526866931015752,0.0,1.0002217296958238,1.0002217296958238,0.0
United States,all_energy_types,1999,96.544524442,71.685640563,13215.49,278941.5,346.1102935274959,7.3054063407410545,5636.733477,0.7425137880923097,0.7425137880923097,0.020207582869526404
United States,coal,1999,21.622543711,23.29508389,13215.49,278941.5,346.1102935274959,7.3054063407410545,2063.632658,1.0773516844897917,1.0773516844897917,0.007398084035541502
United States,natural_gas,1999,22.909227438,19.340702641,13215.49,278941.5,346.1102935274959,7.3054063407410545,1191.31701,0.8442319887627108,0.8442319887627108,0.004270848941444711
United States,petroleum_n_other_liquids,1999,37.854558377,14.92401016,13215.49,278941.5,346.1102935274959,7.3054063407410545,2381.783809,0.3942460511986229,0.3942460511986229,0.008538649892540192
United States,nuclear,1999,7.610255595,7.610255595,13215.49,278941.5,346.1102935274959,7.3054063407410545,0.0,1.0,1.0,0.0
United States,renewables_n_other,1999,6.51374665,6.515588277,13215.49,278941.5,346.1102935274959,7.3054063407410545,0.0,1.000282729295282,1.000282729295282,0.0
United States,all_energy_types,2000,98.702224163,71.270590246,13754.31,282054.2,349.9406290103108,7.176094196146517,5700.252865,0.7220768412300566,0.7220768412300566,0.020209778351111242
United States,coal,2000,22.579528056,22.735477641,13754.31,282054.2,349.9406290103108,7.176094196146517,2061.622698,1.006906680450239,1.006906680450239,0.007309313947461162
United States,natural_gas,2000,23.823976776,19.661529395,13754.31,282054.2,349.9406290103108,7.176094196146517,1196.935249,0.8252832673513516,0.8252832673513516,0.004243635616842437
United States,petroleum_n_other_liquids,2000,38.291877775,14.90956652,13754.31,282054.2,349.9406290103108,7.176094196146517,2441.694918,0.3893662934893769,0.3893662934893769,0.008656828786807642
United States,nuclear,2000,7.862349471,7.862349471,13754.31,282054.2,349.9406290103108,7.176094196146517,0.0,1.0,1.0,0.0
United States,renewables_n_other,2000,6.104233701,6.101667219,13754.31,282054.2,349.9406290103108,7.176094196146517,0.0,0.9995795570540527,0.9995795570540527,0.0
United States,all_energy_types,2001,96.063733749,71.675370986,13885.56,284871.2,337.2181313835867,6.918246995367849,5888.592478,0.7461231017032599,0.7461231017032599,0.020671069865960474
United States,coal,2001,21.914268291,23.547079589,13885.56,284871.2,337.2181313835867,6.918246995367849,2154.743112,1.0745090493699294,1.0745090493699294,0.007563920508636886
United States,natural_gas,2001,22.772557773,20.165567253,13885.56,284871.2,337.2181313835867,6.918246995367849,1246.049927,0.8855205222888513,0.8855205222888513,0.00437408178503127
United States,petroleum_n_other_liquids,2001,38.232692653,14.772098514,13885.56,284871.2,337.2181313835867,6.918246995367849,2487.799439,0.38637348010174427,0.38637348010174427,0.00873306757229232
United States,nuclear,2001,8.028853134,8.028853134,13885.56,284871.2,337.2181313835867,6.918246995367849,0.0,1.0,1.0,0.0
United States,renewables_n_other,2001,5.15996636,5.161772496,13885.56,284871.2,337.2181313835867,6.918246995367849,0.0,1.0003500286385587,1.0003500286385587,0.0
United States,all_energy_types,2002,97.535390886,70.653041629,14121.05,287542.8,339.2030365079564,6.907091957467752,5777.788286,0.7243836415397128,0.7243836415397128,0.02009366357286637
United States,coal,2002,21.903989304,22.732236982,14121.05,287542.8,339.2030365079564,6.907091957467752,2087.256256,1.0378126407251647,1.0378126407251647,0.007258941124590844
United States,natural_gas,2002,23.510080922,19.382055162,14121.05,287542.8,339.2030365079564,6.907091957467752,1191.759702,0.8244146511577031,0.8244146511577031,0.004144634127510757
United States,petroleum_n_other_liquids,2002,38.295428778,14.662418785,14121.05,287542.8,339.2030365079564,6.907091957467752,2498.772328,0.38287647515317236,0.38287647515317236,0.00869008832076477
United States,nuclear,2002,8.145429196,8.145429196,14121.05,287542.8,339.2030365079564,6.907091957467752,0.0,1.0,1.0,0.0
United States,renewables_n_other,2002,5.726116034,5.730901504,14121.05,287542.8,339.2030365079564,6.907091957467752,0.0,1.0008357270393378,1.0008357270393378,0.0
United States,all_energy_types,2003,97.834773192,69.884672199,14515.9,290065.2,337.28545579407665,6.739835159514739,5820.025298,0.7143132233960604,0.7143132233960604,0.020064541689247796
United States,coal,2003,22.320927965,22.093652258,14515.9,290065.2,337.28545579407665,6.739835159514739,2092.877119,0.9898178199689378,0.9898178199689378,0.007215195476741092
United States,natural_gas,2003,22.830642206,19.633303711,14515.9,290065.2,337.28545579407665,6.739835159514739,1231.52727,0.8599540711053794,0.8599540711053794,0.00424569121011414
United States,petroleum_n_other_liquids,2003,38.948532283,14.255627525,14515.9,290065.2,337.28545579407665,6.739835159514739,2495.620909,0.3660119313718582,0.3660119313718582,0.008603655002392565
United States,nuclear,2003,7.959622147,7.959622147,14515.9,290065.2,337.28545579407665,6.739835159514739,0.0,1.0,1.0,0.0
United States,renewables_n_other,2003,5.944159929,5.942466558,14515.9,290065.2,337.28545579407665,6.739835159514739,0.0,0.9997151202154339,0.9997151202154339,0.0
United States,all_energy_types,2004,100.002368086,70.169464375,15075.12,292731.8,341.61771316269704,6.633603452974172,5886.416623,0.7016780274108678,0.7016780274108678,0.02010856566659311
United States,coal,2004,22.466194565,22.852098855,15075.12,292731.8,341.61771316269704,6.633603452974172,2133.921259,1.0171771097630038,1.0171771097630038,0.007289680379787916
United States,natural_gas,2004,22.923061371,19.0742537,15075.12,292731.8,341.61771316269704,6.633603452974172,1195.380899,0.8320988803062259,0.8320988803062259,0.00408353618909869
United States,petroleum_n_other_liquids,2004,40.444106636,13.95766714,15075.12,292731.8,341.61771316269704,6.633603452974172,2557.114465,0.34511003705978854,0.34511003705978854,0.008735349097706503
